[[112.0, 62.0], [87.0, 62.0]] [[173.0, 99.0], [142.0, 86.0]] 60.9758628984 2564100.69617
[[140.0, 52.0], [73.0, 54.0]] [[175.0, 77.0], [167.0, 64.0]] 38.6948422592 2566694.40541
[[58.0, 49.0], [73.0, 54.0]] [[630.0, 0.0], [167.0, 64.0]] 113.088084073 2568482.48502
[[126.0, 56.0], [73.0, 54.0]] [[175.0, 77.0], [173.0, 99.0]] 78.2581976654 2572633.12159
[[73.0, 54.0], [140.0, 52.0]] [[173.0, 99.0], [151.0, 82.0]] 44.1622384003 2575593.30954
[[126.0, 56.0], [140.0, 52.0]] [[175.0, 77.0], [151.0, 82.0]] 32.1550633185 2576061.49433
[[73.0, 54.0], [126.0, 56.0]] [[29.0, 59.0], [-630.0, -630.0]] 77.3169574294 2580162.20966
[[126.0, 56.0], [112.0, 62.0]] [[65.0, 75.0], [64.0, 84.0]] 50.3269386901 2580928.76675
[[73.0, 54.0], [112.0, 62.0]] [[64.0, 84.0], [54.0, 74.0]] 25.7902658943 2581955.53032
[[73.0, 54.0], [67.0, 75.0]] [[65.0, 75.0], [54.0, 74.0]] 14.4504326062 2582271.13254
[[58.0, 49.0], [67.0, 75.0]] [[64.0, 84.0], [65.0, 75.0]] 9.57837201556 2582534.66835
[[87.0, 62.0], [73.0, 54.0]] [[64.0, 84.0], [76.0, 82.0]] 22.1617387021 2582892.01565
[[112.0, 62.0], [73.0, 54.0]] [[120.0, 84.0], [99.0, 107.0]] 46.3142011292 2584735.87933
[[119.0, 83.0], [112.0, 62.0]] [[99.0, 107.0], [99.0, 93.0]] 20.6419780511 2585192.80899
[[112.0, 62.0], [130.0, 76.0]] [[120.0, 84.0], [99.0, 93.0]] 22.4549426495 2585704.86047
[[119.0, 83.0], [130.0, 76.0]] [[99.0, 107.0], [120.0, 84.0]] 21.8665612488 2585989.96555
[[73.0, 54.0], [87.0, 62.0]] [[120.0, 84.0], [131.0, 86.0]] 50.4287276059 2586803.10435
[[87.0, 62.0], [67.0, 75.0]] [[99.0, 107.0], [131.0, 86.0]] 44.2084979577 2587857.64152
[[119.0, 83.0], [100.0, 89.0]] [[141.0, 52.0], [72.0, 53.0]] 39.5782889036 2588646.23334
[[99.0, 77.0], [100.0, 89.0]] [[56.0, 48.0], [72.0, 53.0]] 41.8258512939 2589149.88328
[[100.0, 102.0], [119.0, 83.0]] [[126.0, 56.0], [72.0, 53.0]] 37.1913088278 2590149.2159
[[119.0, 83.0], [130.0, 86.0]] [[72.0, 53.0], [141.0, 52.0]] 32.4972120547 2590519.74112
[[100.0, 102.0], [130.0, 86.0]] [[126.0, 56.0], [141.0, 52.0]] 44.0100289877 2592016.08211
[[119.0, 83.0], [100.0, 102.0]] [[72.0, 53.0], [126.0, 56.0]] 49.9537014163 2593358.34095
[[100.0, 102.0], [100.0, 89.0]] [[126.0, 56.0], [111.0, 63.0]] 29.740556577 2593744.96818
[[130.0, 86.0], [140.0, 76.0]] [[72.0, 53.0], [111.0, 63.0]] 34.8922518088 2594238.41914
[[140.0, 76.0], [141.0, 86.0]] [[72.0, 53.0], [54.0, 74.0]] 70.6931496621 2594948.8765
[[130.0, 86.0], [141.0, 86.0]] [[56.0, 48.0], [54.0, 74.0]] 82.3946710146 2595855.21788
[[140.0, 76.0], [130.0, 86.0]] [[126.0, 56.0], [130.0, 77.0]] 13.1116436958 2596040.64452
[[130.0, 86.0], [130.0, 76.0]] [[130.0, 77.0], [111.0, 63.0]] 13.2899213052 2596173.54374
[[140.0, 76.0], [130.0, 76.0]] [[130.0, 77.0], [126.0, 56.0]] 5.9944068229 2596233.48781
[[170.0, 103.0], [141.0, 86.0]] [[126.0, 56.0], [142.0, 77.0]] 29.4115400222 2597222.17062
[[141.0, 86.0], [148.0, 82.0]] [[130.0, 77.0], [142.0, 77.0]] 8.06011456251 2597287.15334
[[112.0, 62.0], [126.0, 56.0]] [[120.0, 84.0], [111.0, 63.0]] 12.093624271 2597471.35794
[[126.0, 56.0], [130.0, 76.0]] [[111.0, 63.0], [130.0, 77.0]] 7.93882778861 2597633.27889
[[130.0, 76.0], [126.0, 56.0]] [[120.0, 84.0], [130.0, 77.0]] 11.0726356313 2597859.11723
[[126.0, 56.0], [140.0, 76.0]] [[111.0, 63.0], [120.0, 84.0]] 16.5070553728 2598262.10581
[[130.0, 76.0], [140.0, 76.0]] [[120.0, 84.0], [99.0, 78.0]] 20.8685440074 2598470.79125
[[140.0, 52.0], [140.0, 76.0]] [[111.0, 63.0], [99.0, 78.0]] 23.8161965393 2599042.37997
[[140.0, 52.0], [-630.0, -630.0]] [[87.0, 62.0], [111.0, 63.0]] 37.2280715294 2637335.28365
[[140.0, 52.0], [154.0, 53.0]] [[99.0, 78.0], [120.0, 84.0]] 40.8898210948 2637909.19964
[[140.0, 76.0], [140.0, 52.0]] [[99.0, 78.0], [99.0, 93.0]] 42.596350765 2638931.51205
[[140.0, 76.0], [154.0, 53.0]] [[131.0, 86.0], [117.0, 130.0]] 46.6367173167 2640187.2441
[[154.0, 53.0], [630.0, 0.0]] [[99.0, 107.0], [117.0, 130.0]] 123.890513912 2699523.55779
[[154.0, 53.0], [164.0, 64.0]] [[151.0, 82.0], [167.0, 64.0]] 13.8710932812 2699729.76641
[[164.0, 64.0], [171.0, 83.0]] [[167.0, 64.0], [175.0, 77.0]] 2.60465580632 2699782.50667
[[164.0, 64.0], [148.0, 82.0]] [[151.0, 82.0], [175.0, 77.0]] 14.8523116447 2700140.1977
[[164.0, 64.0], [140.0, 76.0]] [[167.0, 64.0], [151.0, 82.0]] 9.64146475606 2700398.90535
[[154.0, 53.0], [140.0, 76.0]] [[151.0, 82.0], [142.0, 77.0]] 17.2878766485 2700864.39567
[[87.0, 62.0], [99.0, 77.0]] [[167.0, 64.0], [142.0, 77.0]] 51.2411156769 2701848.70536
[[99.0, 77.0], [78.0, 82.0]] [[87.0, 62.0], [99.0, 78.0]] 10.2857798964 2702070.74484
[[87.0, 62.0], [78.0, 82.0]] [[131.0, 86.0], [130.0, 77.0]] 47.6766656441 2703116.37574
[[130.0, 86.0], [113.0, 128.0]] [[142.0, 77.0], [130.0, 77.0]] 36.4317028893 2704767.09777
[[100.0, 102.0], [113.0, 128.0]] [[157.0, 53.0], [141.0, 52.0]] 71.0041395113 2706831.10884
[[67.0, 75.0], [78.0, 82.0]] [[141.0, 52.0], [142.0, 77.0]] 68.3958486729 2707722.88161
[[67.0, 84.0], [78.0, 82.0]] [[142.0, 77.0], [141.0, 52.0]] 68.2388579406 2708485.81523
[[100.0, 89.0], [78.0, 82.0]] [[141.0, 52.0], [157.0, 53.0]] 64.3311173151 2709971.01441
[[113.0, 128.0], [100.0, 115.0]] [[142.0, 77.0], [157.0, 53.0]] 66.8777568481 2711200.54701
[[100.0, 102.0], [100.0, 115.0]] [[157.0, 53.0], [630.0, 0.0]] 115.882542509 2712707.02006
[[82.0, 127.0], [100.0, 115.0]] [[157.0, 53.0], [167.0, 64.0]] 91.4800764211 2714686.0367
[[100.0, 89.0], [100.0, 102.0]] [[157.0, 53.0], [142.0, 77.0]] 58.1435045497 2715441.90225
[[100.0, 102.0], [78.0, 82.0]] [[117.0, 130.0], [99.0, 122.0]] 32.0915409481 2716396.05236
[[98.0, 131.0], [100.0, 115.0]] [[99.0, 122.0], [99.0, 107.0]] 8.50391400195 2716533.17386
[[100.0, 115.0], [106.0, 130.0]] [[117.0, 130.0], [99.0, 107.0]] 7.23792644275 2716650.10614
[[98.0, 131.0], [106.0, 130.0]] [[99.0, 122.0], [117.0, 130.0]] 4.68867487859 2716687.90744
[[100.0, 115.0], [98.0, 131.0]] [[117.0, 130.0], [108.0, 133.0]] 14.8422780746 2716927.23198
[[100.0, 115.0], [91.0, 129.0]] [[99.0, 122.0], [108.0, 133.0]] 9.74825650555 2717089.47531
[[116.0, 152.0], [105.0, 156.0]] [[99.0, 78.0], [76.0, 82.0]] 77.4178425185 2717995.62792
[[105.0, 156.0], [105.0, 148.0]] [[99.0, 93.0], [76.0, 82.0]] 58.3620629099 2718462.52442
[[116.0, 152.0], [105.0, 148.0]] [[117.0, 130.0], [166.0, 141.0]] 16.2861545189 2718653.14898
[[105.0, 156.0], [116.0, 152.0]] [[117.0, 130.0], [136.0, 152.0]] 19.2273835775 2718878.19973
[[116.0, 152.0], [105.0, 158.0]] [[22.0, 116.0], [78.0, 129.0]] 52.6555503022 2719537.97189
[[105.0, 156.0], [105.0, 158.0]] [[99.0, 93.0], [99.0, 107.0]] 51.00244232404594 2719639.97677
[[97.0, 150.0], [87.0, 156.0]] [[123.0, 172.0], [131.0, 154.0]] 30.314157676 2719993.49756
[[87.0, 156.0], [88.0, 147.0]] [[147.0, 178.0], [131.0, 154.0]] 39.2020237898 2720348.48698
[[97.0, 150.0], [88.0, 147.0]] [[68.0, 145.0], [67.0, 171.0]] 26.485152681 2720599.7472
[[87.0, 156.0], [97.0, 150.0]] [[67.0, 171.0], [60.0, 151.0]] 24.7802408368 2720888.73199
